award_node_id,laureate_id,name,gender,award_year,decade,category,motivation,portion,birth_country,birth_continent,affiliations,affiliation_countries,has_affiliation_coordinates,wikipedia,wikidata
745::Economic Sciences::2001::0,745,A. Michael Spence,male,2001,2000s,Ciencias Económicas,for their analyses of markets with asymmetric information,1/3,USA,North America,Stanford University,USA,True,https://en.wikipedia.org/wiki/Michael_Spence,https://www.wikidata.org/wiki/Q157245
102::Physics::1975::0,102,Aage N. Bohr,male,1975,1970s,Física,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,1/3,Denmark,Europe,Niels Bohr Institute,Denmark,True,https://en.wikipedia.org/wiki/Aage_Bohr,https://www.wikidata.org/wiki/Q103854
779::Chemistry::2004::0,779,Aaron Ciechanover,male,2004,2000s,Química,for the discovery of ubiquitin-mediated protein degradation,1/3,Israel,Asia,Technion - Israel Institute of Technology,Israel,True,https://en.wikipedia.org/wiki/Aaron_Ciechanover,https://www.wikidata.org/wiki/Q233205
259::Chemistry::1982::0,259,Aaron Klug,male,1982,1980s,Química,for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes,1,Lithuania,Europe,MRC Laboratory of Molecular Biology,United Kingdom,True,https://en.wikipedia.org/wiki/Aaron_Klug,https://www.wikidata.org/wiki/Q190626
1004::Literature::2021::0,1004,Abdulrazak Gurnah,male,2021,2020s,Literatura,for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents,1,Sin dato,Sin dato,,,False,https://en.wikipedia.org/wiki/Abdulrazak_Gurnah,https://www.wikidata.org/wiki/Q317877
114::Physics::1979::0,114,Abdus Salam,male,1979,1970s,Física,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",1/3,Pakistan,Asia,International Centre for Theoretical Physics | Imperial College,Italy | United Kingdom,True,https://en.wikipedia.org/wiki/Abdus_Salam,https://www.wikidata.org/wiki/Q28189
982::Economic Sciences::2019::0,982,Abhijit Banerjee,male,2019,2010s,Ciencias Económicas,for their experimental approach to alleviating global poverty,1/3,India,Asia,Massachusetts Institute of Technology (MIT),USA,True,https://en.wikipedia.org/wiki/Abhijit_Banerjee,https://www.wikidata.org/wiki/Q320578
981::Peace::2019::0,981,Abiy Ahmed Ali,male,2019,2010s,Paz,"for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea",1,Ethiopia,Africa,,,False,https://en.wikipedia.org/wiki/Abiy_Ahmed,https://www.wikidata.org/wiki/Q50365049
843::Chemistry::2009::0,843,Ada E. Yonath,female,2009,2000s,Química,for studies of the structure and function of the ribosome,1/3,Israel,Asia,Weizmann Institute of Science,Israel,True,https://en.wikipedia.org/wiki/Ada_Yonath,https://www.wikidata.org/wiki/Q7426
866::Physics::2011::0,866,Adam G. Riess,male,2011,2010s,Física,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,1/4,USA,North America,Johns Hopkins University | Space Telescope Science Institute,USA | USA,True,https://en.wikipedia.org/wiki/Adam_Riess,https://www.wikidata.org/wiki/Q106454
199::Chemistry::1939::0,199,Adolf Butenandt,male,1939,1930s,Química,for his work on sex hormones,1/2,Germany,Europe,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie | Berlin University,Germany | Germany,True,https://en.wikipedia.org/wiki/Adolf_Butenandt,https://www.wikidata.org/wiki/Q5327
164::Chemistry::1905::0,164,Adolf von Baeyer,male,1905,1900s,Química,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",1,Germany,Europe,Munich University,Germany,True,https://en.wikipedia.org/wiki/Adolf_von_Baeyer,https://www.wikidata.org/wiki/Q57078
185::Chemistry::1928::0,185,Adolf Windaus,male,1928,1920s,Química,for the services rendered through his research into the constitution of the sterols and their connection with the vitamins,1,Germany,Europe,Goettingen University,Germany,True,https://en.wikipedia.org/wiki/Adolf_Otto_Reinhold_Windaus,https://www.wikidata.org/wiki/Q77142
541::Peace::1980::0,541,Adolfo Pérez Esquivel,male,1980,1980s,Paz,"for being a source of inspiration to repressed people, especially in Latin America",1,Argentina,South America,,,False,https://en.wikipedia.org/wiki/Adolfo_Pérez_Esquivel,https://www.wikidata.org/wiki/Q206505
292::Chemistry::1999::0,292,Ahmed Zewail,male,1999,1990s,Química,for his studies of the transition states of chemical reactions using femtosecond spectroscopy,1,Egypt,Africa,California Institute of Technology (Caltech),USA,True,https://en.wikipedia.org/wiki/Ahmed_Zewail,https://www.wikidata.org/wiki/Q106624
853::Chemistry::2010::0,853,Akira Suzuki,male,2010,2010s,Química,for palladium-catalyzed cross couplings in organic synthesis,1/3,Japan,Asia,Hokkaido University,Japan,True,https://en.wikipedia.org/wiki/Akira_Suzuki_(chemist),https://www.wikidata.org/wiki/Q105949
978::Chemistry::2019::0,978,Akira Yoshino,male,2019,2010s,Química,for the development of lithium-ion batteries,1/3,Japan,Asia,Asahi Kasei Corporation | Meijo University,Japan | Japan,True,https://en.wikipedia.org/wiki/Akira_Yoshino,https://www.wikidata.org/wiki/Q4701206
819::Peace::2007::0,819,Al Gore,male,2007,2000s,Paz,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change",1/2,USA,North America,,,False,https://en.wikipedia.org/wiki/Al_Gore,https://www.wikidata.org/wiki/Q19673
1012::Physics::2022::0,1012,Alain Aspect,male,2022,2020s,Física,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science",1/3,France,Europe,Institut d’Optique Graduate School – Université Paris-Saclay | École Polytechnique,France | France,True,https://en.wikipedia.org/wiki/Alain_Aspect,https://www.wikidata.org/wiki/Q364997
729::Chemistry::2000::0,729,Alan Heeger,male,2000,2000s,Química,for the discovery and development of conductive polymers,1/3,USA,North America,University of California,USA,True,https://en.wikipedia.org/wiki/Alan_J._Heeger,https://www.wikidata.org/wiki/Q106751
376::Physiology or Medicine::1963::0,376,Alan Hodgkin,male,1963,1960s,Fisiología o Medicina,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,1/3,United Kingdom,Europe,University of Cambridge,United Kingdom,True,https://en.wikipedia.org/wiki/Alan_Lloyd_Hodgkin,https://www.wikidata.org/wiki/Q193650
730::Chemistry::2000::0,730,Alan MacDiarmid,male,2000,2000s,Química,for the discovery and development of conductive polymers,1/3,New Zealand,Oceania,University of Pennsylvania,USA,True,https://en.wikipedia.org/wiki/Alan_MacDiarmid,https://www.wikidata.org/wiki/Q110942
11::Physics::1907::0,11,Albert A. Michelson,male,1907,1900s,Física,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,1,Poland,Europe,University of Chicago,USA,True,https://en.wikipedia.org/wiki/Albert_Abraham_Michelson,https://www.wikidata.org/wiki/Q127234
628::Literature::1957::0,628,Albert Camus,male,1957,1950s,Literatura,"for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times",1,Algeria,Africa,,,False,https://en.wikipedia.org/wiki/Albert_Camus,https://www.wikidata.org/wiki/Q34670
403::Physiology or Medicine::1974::0,403,Albert Claude,male,1974,1970s,Fisiología o Medicina,for their discoveries concerning the structural and functional organization of the cell,1/3,Belgium,Europe,Université Catholique de Louvain,Belgium,True,https://en.wikipedia.org/wiki/Albert_Claude,https://www.wikidata.org/wiki/Q233943
26::Physics::1921::0,26,Albert Einstein,male,1921,1920s,Física,"for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect",1,Germany,Europe,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Germany,True,https://en.wikipedia.org/wiki/Albert_Einstein,https://www.wikidata.org/wiki/Q937
814::Physics::2007::0,814,Albert Fert,male,2007,2000s,Física,for the discovery of Giant Magnetoresistance,1/2,France,Europe,Universit&eacute; Paris-Sud | Unit&eacute; Mixte de Physique CNRS/THALES,France | France,True,https://en.wikipedia.org/wiki/Albert_Fert,https://www.wikidata.org/wiki/Q153219
465::Peace::1902::0,465,Albert Gobat,male,1902,1900s,Paz,for his eminently practical administration of the Inter-Parliamentary Union,1/2,Switzerland,Europe,,,False,https://en.wikipedia.org/wiki/Charles_Albert_Gobat,https://www.wikidata.org/wiki/Q179458
519::Peace::1960::0,519,Albert Lutuli,male,1960,1960s,Paz,for his non-violent struggle against apartheid,1,Zimbabwe,Africa,,,False,https://en.wikipedia.org/wiki/Albert_Lutuli,https://www.wikidata.org/wiki/Q212955
513::Peace::1952::0,513,Albert Schweitzer,male,1952,1950s,Paz,"for his altruism, reverence for life, and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one",1,France,Europe,,,False,https://en.wikipedia.org/wiki/Albert_Schweitzer,https://www.wikidata.org/wiki/Q49325
332::Physiology or Medicine::1937::0,332,Albert Szent-Györgyi,male,1937,1930s,Fisiología o Medicina,"for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid",1,Hungary,Europe,Szeged University,Hungary,True,https://en.wikipedia.org/wiki/Albert_Szent-Györgyi,https://www.wikidata.org/wiki/Q180468
304::Physiology or Medicine::1910::0,304,Albrecht Kossel,male,1910,1910s,Fisiología o Medicina,"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances",1,Germany,Europe,University of Heidelberg,Germany,True,https://en.wikipedia.org/wiki/Albrecht_Kossel,https://www.wikidata.org/wiki/Q57128
83::Physics::1964::0,83,Aleksandr M. Prokhorov,male,1964,1960s,Física,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",1/4,Australia,Oceania,P.N. Lebedev Physical Institute,Russia,True,https://en.wikipedia.org/wiki/Alexander_Prokhorov,https://www.wikidata.org/wiki/Q83552
644::Literature::1970::0,644,Aleksandr Solzhenitsyn,male,1970,1970s,Literatura,for the ethical force with which he has pursued the indispensable traditions of Russian literature,1,Russia,Europe,,,False,https://en.wikipedia.org/wiki/Aleksandr_Solzhenitsyn,https://www.wikidata.org/wiki/Q34474
1031::Chemistry::2023::0,1031,Aleksey Yekimov ,male,2023,2020s,Química,for the discovery and synthesis of quantum dots,1/3,Russia,Europe,Nanocrystals Technology Inc.,USA,True,https://en.wikipedia.org/wiki/Alexei_Ekimov,https://www.wikidata.org/wiki/Q1547368
1018::Peace::2022::0,1018,Ales Bialiatski,male,2022,2020s,Paz,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.",1/3,Russia,Europe,,,False,https://en.wikipedia.org/wiki/Ales_Bialiatski,https://www.wikidata.org/wiki/Q118263
766::Physics::2003::0,766,Alexei Abrikosov,male,2003,2000s,Física,for pioneering contributions to the theory of superconductors and superfluids,1/3,Russia,Europe,Argonne National Laboratory,USA,False,https://en.wikipedia.org/wiki/Alexei_Alexeyevich_Abrikosov,https://www.wikidata.org/wiki/Q188128
