id,laureate_id,name,entity_type,gender,award_year,category,category_code,motivation,portion,birth_country,affiliation_names,affiliation_countries,x,y,color
NOBEL::745::eco::2001::0,745,A. Michael Spence,person,male,2001,Ciencias Económicas,eco,for their analyses of markets with asymmetric information,1/3,USA,Stanford University,USA,-5.383234,-1.731585,#43AAA6
NOBEL::102::phy::1975::0,102,Aage N. Bohr,person,male,1975,Física,phy,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,1/3,Denmark,Niels Bohr Institute,Denmark,-4.003538,3.786983,#CB7175
NOBEL::779::che::2004::0,779,Aaron Ciechanover,person,male,2004,Química,che,for the discovery of ubiquitin-mediated protein degradation,1/3,Israel,Technion - Israel Institute of Technology,Israel,-0.540262,2.693271,#5AA990
NOBEL::259::che::1982::0,259,Aaron Klug,person,male,1982,Química,che,for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes,1,Lithuania,MRC Laboratory of Molecular Biology,United Kingdom,-0.98981,3.807277,#5DAB86
NOBEL::1004::lit::2021::0,1004,Abdulrazak Gurnah,person,male,2021,Literatura,lit,for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents,1,,,,-0.575768,-3.986007,#D6AB6B
NOBEL::114::phy::1979::0,114,Abdus Salam,person,male,1979,Física,phy,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",1/3,Pakistan,International Centre for Theoretical Physics | Imperial College,Italy | United Kingdom,-4.261089,4.142805,#D56C73
NOBEL::982::eco::2019::0,982,Abhijit Banerjee,person,male,2019,Ciencias Económicas,eco,for their experimental approach to alleviating global poverty,1/3,India,Massachusetts Institute of Technology (MIT),USA,-4.58441,-2.098269,#4FA5A9
NOBEL::981::pea::2019::0,981,Abiy Ahmed Ali,person,male,2019,Paz,pea,"for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea",1,Ethiopia,,,2.125569,-2.022646,#AD7AC8
NOBEL::843::che::2009::0,843,Ada E. Yonath,person,female,2009,Química,che,for studies of the structure and function of the ribosome,1/3,Israel,Weizmann Institute of Science,Israel,-0.891082,3.021405,#5CAA8D
NOBEL::866::phy::2011::0,866,Adam G. Riess,person,male,2011,Física,phy,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,1/4,USA,Johns Hopkins University | Space Telescope Science Institute,USA | USA,-4.474542,3.693434,#D46D74
NOBEL::199::che::1939::0,199,Adolf Butenandt,person,male,1939,Química,che,for his work on sex hormones,1/2,Germany,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie | Berlin University,Germany | Germany,-0.037051,3.16451,#5EA793
